Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,modules.nmodules,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Class
Benign,45,17,10.55555556,0,202.8444444,1694,38.5,9129,212.3023256,53,95,53,0.030372493,0.054441261,0.030372493,138,87,0,8,Benign
Benign,47,19,11.53191489,0,242.2340426,2074,44.12765957,11385,242.2340426,77,123,77,0.036167215,0.057773603,0.036167215,138,87,0,8,Benign
Benign,40,14,14.725,0,288.225,1932,48.3,11529,288.225,51,89,51,0.026113671,0.045570917,0.026113671,137,88,0,8,Benign
Benign,32,13,13.5,0,264.28125,1445,45.15625,8457,264.28125,31,62,31,0.021483021,0.042966043,0.021483021,138,88,0,8,Benign
Benign,42,16,11.45238095,0,281.3333333,2067,49.21428571,11816,281.3333333,102,143,102,0.047819972,0.067041725,0.047819972,138,87,0,8,Benign
Benign,40,12,13.8,0,306.95,2082,52.05,12278,306.95,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,43,13,13.81395349,0,305.0232558,2169,50.44186047,13116,305.0232558,70,111,70,0.032833021,0.05206379,0.032833021,138,88,0,8,Benign
Benign,42,16,11.45238095,0,281.4047619,2067,49.21428571,11819,281.4047619,102,143,102,0.047819972,0.067041725,0.047819972,138,87,0,8,Benign
Benign,42,16,11.45238095,0,281.2619048,2067,49.21428571,11813,281.2619048,102,143,102,0.047819972,0.067041725,0.047819972,138,87,0,8,Benign
Benign,40,12,13.875,0,308,2082,52.05,12320,308,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,43,13,13.37209302,0,302.5116279,2170,50.46511628,13008,302.5116279,70,111,70,0.032817628,0.052039381,0.032817628,138,88,0,8,Benign
Benign,42,16,11.19047619,0,280.7380952,2067,49.21428571,11791,280.7380952,102,143,102,0.047819972,0.067041725,0.047819972,138,87,0,8,Benign
Benign,40,12,13.825,0,307.225,2082,52.05,12289,307.225,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,43,13,13.27906977,0,301.3953488,2170,50.46511628,12960,301.3953488,70,111,70,0.032817628,0.052039381,0.032817628,138,88,0,8,Benign
Benign,42,16,11.26190476,0,280.7619048,2067,49.21428571,11792,280.7619048,102,143,102,0.047819972,0.067041725,0.047819972,138,87,0,8,Benign
Benign,40,12,13.6,0,306.425,2082,52.05,12257,306.425,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,41,12,13.51219512,0,305.2682927,2105,51.34146341,12516,305.2682927,70,109,70,0.03384913,0.05270793,0.03384913,138,88,0,8,Benign
Benign,42,16,10.45238095,0,244.5952381,1788,42.57142857,10276,263.4871795,79,117,79,0.04321663,0.064004376,0.04321663,138,87,0,8,Benign
Benign,40,12,13.55,0,306.125,2082,52.05,12245,306.125,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,41,12,13.41463415,0,304.7804878,2105,51.34146341,12496,304.7804878,70,109,70,0.03384913,0.05270793,0.03384913,138,88,0,8,Benign
Benign,41,16,11.6097561,0,268.2195122,1924,46.92682927,10997,268.2195122,87,127,87,0.044050633,0.064303797,0.044050633,138,87,0,8,Benign
Benign,32,11,12.53125,0,283.59375,1513,47.28125,9077,302.5666667,61,87,61,0.041695147,0.059466849,0.041695147,138,88,0,8,Benign
Benign,40,12,13.325,0,305.25,2082,52.05,12210,305.25,76,113,76,0.036573628,0.054379211,0.036573628,138,88,0,8,Benign
Benign,42,12,13.66666667,0,306.4761905,2177,51.83333333,12872,306.4761905,79,119,79,0.036761284,0.055374593,0.036761284,138,88,0,8,Benign
Benign,40,13,13.175,0,293.25,1990,49.75,11730,293.25,65,101,65,0.033539732,0.052115583,0.033539732,138,88,0,8,Benign
Benign,43,17,11.53488372,0,269.9767442,2024,47.06976744,11609,269.9767442,94,136,94,0.045148895,0.065321806,0.045148895,138,87,0,8,Benign
